artist_name,artist_followers,artist_genres,artist_popularity,track_name,album_name,release_date,track_duration,track_popularity
Miley Cyrus,25237801,pop,84,Prisoner (feat. Dua Lipa),Prisoner (feat. Dua Lipa),2020-11-20,169,1
The Weeknd,96449542,"canadian contemporary r&b, canadian pop, pop",96,Blinding Lights,After Hours,2020-03-20,200,87
Ariana Grande,102039011,pop,96,test drive,Positions (Deluxe),2021-02-19,122,60
Internet Money,902353,"pop rap, trap",71,Lemonade,"Lemonade (feat. Gunna, Don Toliver & NAV)",2020-08-14,195,19
Harry Styles,33256201,pop,85,Watermelon Sugar,Fine Line,2019-12-13,174,81
Billie Eilish,104092602,"art pop, pop",96,Lost Cause,Lost Cause,2021-06-02,212,0
DJ Snake,8959842,"dance pop, edm, electronic trap, pop, pop dance",79,Selfish Love (with Selena Gomez),Selfish Love (with Selena Gomez),2021-03-04,168,52
Pop Smoke,14805014,"brooklyn drill, hip hop, rap",80,What You Know Bout Love,LOVE,2021-05-14,160,0
BTS,77196288,"k-pop, k-pop boy group, pop",87,Dynamite,BE,2020-11-20,199,2
Joel Corry,443550,"dance pop, pop dance, uk dance",72,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),2020-07-03,166,73
Saweetie,2411634,"cali rap, trap queen",71,Best Friend (feat. Doja Cat),Best Friend (feat. Doja Cat),2021-01-07,155,64
Drake,94383636,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96,What’s Next,Scary Hours 2,2021-03-05,178,64
ROSÉ,8905940,k-pop,90,On The Ground,R,2021-03-12,168,70
Justin Bieber,79521536,"canadian pop, pop",92,As I Am (feat. Khalid),Justice,2021-03-19,174,60
BTS,77196288,"k-pop, k-pop boy group, pop",87,Permission to Dance,Butter / Permission to Dance,2021-07-09,187,0
Demi Lovato,26886058,"pop, post-teen pop",79,Met Him Last Night (feat. Ariana Grande),Dancing With The Devil…The Art of Starting Over,2021-04-02,204,50
J. Cole,25269526,"conscious hip hop, hip hop, north carolina hip hop, rap",87,m y . l i f e (with 21 Savage & Morray),The Off-Season,2021-05-14,218,71
WILLOW,2779565,"afrofuturism, pop, post-teen pop, pov: indie",72,t r a n s p a r e n t s o u l feat. Travis Barker,t r a n s p a r e n t s o u l feat. Travis Barker,2021-04-27,168,59
Post Malone,46064066,"dfw rap, melodic rap, pop, rap",90,Motley Crew,Motley Crew,2021-07-09,184,67
Farruko,16229155,"reggaeton, trap latino, urbano latino",84,Pepas,Pepas,2021-06-24,287,75
Lil Nas X,12403081,lgbtq+ hip hop,76,THATS WHAT I WANT,MONTERO,2021-09-17,143,73
Lizzo,5709007,"escape room, minnesota hip hop, pop, trap queen",70,Rumors (feat. Cardi B),Rumors (feat. Cardi B),2021-08-13,172,58
Bruno Mars,64329544,"dance pop, pop",96,Skate,Skate,2021-07-30,203,1
Elton John,14167109,"glam rock, mellow gold, piano rock, rock",86,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),2021-08-13,202,78
Marshmello,33962386,"brostep, edm, pop, progressive electro house",85,Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,2021-05-21,154,77
Anitta,12832548,"funk pop, funk rj, pagode baiano, pop, pop nacional",83,Girl From Rio,Girl From Rio,2021-04-29,194,50
Shawn Mendes,43954494,"canadian pop, pop, viral pop",85,Summer of Love (Shawn Mendes & Tainy),Summer Of Love,2021-08-20,184,67
Oliver Tree,2506126,alternative hip hop,71,Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",2021-05-28,161,70
StarBoi3,48949,viral rap,50,Dick (feat. Doja Cat),Dick (feat. Doja Cat),2021-04-23,175,63
Kanye West,28455348,"chicago rap, hip hop, rap",93,Praise God,Donda,2021-08-29,226,71
Harry Styles,33256201,pop,85,As It Was,As It Was,2022-03-31,167,28
Taylor Swift,128480167,pop,100,Anti-Hero,Midnights,2022-10-21,200,81
Glass Animals,4358650,"gauze pop, indietronica, modern rock, pov: indie, shiver pop",77,Heat Waves,Dreamland (+ Bonus Levels),2020-08-06,238,31
Bad Bunny,87935792,"reggaeton, trap latino, urbano latino",96,Tití Me Preguntó,Un Verano Sin Ti,2022-05-06,243,78
Lil Nas X,12403081,lgbtq+ hip hop,76,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),2021-07-23,212,72
Sam Smith,24900100,"pop, uk pop",84,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),2022-09-22,156,76
Beyoncé,39231083,"pop, r&b",87,CUFF IT,RENAISSANCE,2022-07-29,225,73
Kate Bush,2239247,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter",72,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),1985-09-16,300,5
Jack Harlow,4008304,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap",82,First Class,First Class,2022-04-08,173,28
Harry Styles,33256201,pop,85,Late Night Talking,Harry's House,2022-05-20,177,76
Olivia Rodrigo,42203840,pop,88,traitor,SOUR,2021-05-21,229,83
Justin Bieber,79521536,"canadian pop, pop",92,Ghost,Justice,2021-03-19,153,83
Joji,9974051,viral pop,80,Glimpse of Us,Glimpse of Us,2022-06-10,233,72
Steve Lacy,5449255,afrofuturism,83,Bad Habit,Gemini Rights,2022-07-15,232,81
Zach Bryan,5730020,classic oklahoma country,90,Something in the Orange,Something in the Orange,2022-04-22,228,84
The Weeknd,96449542,"canadian contemporary r&b, canadian pop, pop",96,Is There Someone Else?,Dawn FM,2022-01-06,199,79
Bizarrap,17112051,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino",82,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,198,79
Anitta,12832548,"funk pop, funk rj, pagode baiano, pop, pop nacional",83,Envolver,Envolver,2021-11-11,193,67
Bad Bunny,87935792,"reggaeton, trap latino, urbano latino",96,Me Porto Bonito,Un Verano Sin Ti,2022-05-06,178,80
Kendrick Lamar,35387284,"conscious hip hop, hip hop, rap, west coast rap",97,N95,Mr. Morale & The Big Steppers,2022-05-13,195,30
Drake,94383636,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",2022-06-17,218,79
Lizzo,5709007,"escape room, minnesota hip hop, pop, trap queen",70,About Damn Time,About Damn Time,2022-04-14,191,45
Taylor Swift,128480167,pop,100,Lavender Haze,Midnights,2022-10-21,202,74
ROSALÍA,8403047,"pop, r&b en espanol",80,DESPECHÁ,DESPECHÁ,2022-07-28,157,70
GAYLE,644826,"alt z, modern alternative pop",63,abcdefu,abcdefu,2021-08-13,168,72
Elton John,14167109,"glam rock, mellow gold, piano rock, rock",86,Cold Heart - PNAU Remix,The Lockdown Sessions,2021-10-22,202,66
Ed Sheeran,117932971,"pop, singer-songwriter pop, uk pop",90,Shivers,=,2021-10-25,207,82
Charlie Puth,23739620,"pop, viral pop",81,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),2022-06-24,154,67
Jaymes Young,976518,indie poptimism,67,Infinity,Feel Something,2017-06-23,237,75
Lil Nas X,12403081,lgbtq+ hip hop,76,THATS WHAT I WANT,MONTERO,2021-09-17,143,73
Nicky Youre,283559,singer-songwriter pop,69,Sunroof,Sunroof,2021-11-26,163,15
OneRepublic,17744324,"piano rock, pop",84,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,148,79
Amaarae,466309,"afro r&b, afrobeats, alternative r&b, ghanaian alternative, ghanaian pop",68,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2021-09-16,204,73
Becky G,15522003,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino",79,MAMIII,MAMIII,2022-02-10,226,68
Rauw Alejandro,25097926,"puerto rican pop, reggaeton, trap latino, urbano latino",94,Desesperados,VICE VERSA,2021-12-10,224,80
Nicki Minaj,32972377,"hip pop, pop, queens hip hop, rap",87,Super Freaky Girl,Super Freaky Girl,2022-08-12,170,67
The Weeknd,96449542,"canadian contemporary r&b, canadian pop, pop",96,Out of Time,Dawn FM,2022-01-06,214,73
Dove Cameron,5269082,pop,71,Boyfriend,Boyfriend,2022-02-11,153,70
BLACKPINK,52193850,"k-pop, k-pop girl group, pop",80,Pink Venom,Pink Venom,2022-08-19,186,62
SZA,25205028,"pop, r&b, rap",93,Shirt,Shirt,2022-10-28,181,64
Chris Brown,24494987,"r&b, rap",89,Under The Influence,Indigo (Extended),2019-10-04,184,83
Rosa Linn,415725,alt z,67,SNAP,SNAP PACK,2022-07-15,179,0
Camila Cabello,34256805,"dance pop, pop",82,Bam Bam (feat. Ed Sheeran),Familia,2022-04-07,206,68
Cris Mj,4638701,"mambo chileno, trap latino, urbano chileno, urbano latino",87,Una Noche en Medellín,Una Noche en Medellín,2022-01-21,153,5
KAROL G,52990619,"reggaeton, reggaeton colombiano, urbano latino",91,PROVENZA,PROVENZA,2022-04-22,210,71
Elley Duhé,606140,alt z,75,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,2020-01-10,184,74
Imagine Dragons,55668981,"modern rock, pop, rock",89,Enemy (with JID) - from the series Arcane League of Legends,Enemy (with JID) [from the series Arcane League of Legends],2021-10-28,173,76
Drake,94383636,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96,Massive,"Honestly, Nevermind",2022-06-17,336,66
Beyoncé,39231083,"pop, r&b",87,BREAK MY SOUL,BREAK MY SOUL,2022-06-21,278,59
Post Malone,46064066,"dfw rap, melodic rap, pop, rap",90,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,2022-06-03,192,75
Adele,61009632,"british soul, pop, pop soul, uk pop",87,Oh My God,30,2021-11-19,225,72
Carolina Gaitán,3500,,58,We Don't Talk About Bruno,Encanto (Original Motion Picture Soundtrack),2021-11-19,216,70
Labrinth,3391023,"indie poptimism, pop",78,All For Us,Imagination & the Misfit Kid,2019-11-21,191,72
Lost Frequencies,2952515,"belgian edm, edm, pop dance, tropical house",80,Where Are You Now,Where Are You Now,2021-07-30,148,74
Lil Nas X,12403081,lgbtq+ hip hop,76,STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem),2022-09-22,210,69
Olivia Rodrigo,42203840,pop,88,good 4 u,SOUR,2021-05-21,178,81
The Weeknd,96449542,"canadian contemporary r&b, canadian pop, pop",96,Sacrifice,Dawn FM,2022-01-06,188,68
Megan Thee Stallion,10021932,"houston rap, pop, rap, trap queen",83,Sweetest Pie,Sweetest Pie,2022-03-11,201,65
Bad Bunny,87935792,"reggaeton, trap latino, urbano latino",96,Ojitos Lindos,Un Verano Sin Ti,2022-05-06,258,80
Adele,61009632,"british soul, pop, pop soul, uk pop",87,Easy On Me,30,2021-11-19,224,82
Rihanna,64327916,"barbadian pop, pop, urban contemporary",92,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),2022-10-28,196,67
Taylor Swift,128480167,pop,100,Snow On The Beach (feat. Lana Del Rey),Midnights,2022-10-21,256,67
Post Malone,46064066,"dfw rap, melodic rap, pop, rap",90,One Right Now (with The Weeknd),One Right Now,2021-11-05,193,67
Central Cee,7136973,"melodic drill, r&drill",82,Doja,Doja,2022-07-21,97,76
Doja Cat,32188568,"dance pop, pop",87,Woman,Planet Her,2021-06-25,172,81
Shakira,35845719,"colombian pop, dance pop, latin pop, pop",88,Te Felicito,Te Felicito,2022-04-21,172,69
BLACKPINK,52193850,"k-pop, k-pop girl group, pop",80,Shut Down,BORN PINK,2022-09-16,175,64
Bad Bunny,87935792,"reggaeton, trap latino, urbano latino",96,Moscow Mule,Un Verano Sin Ti,2022-05-06,245,78
Manuel Turizo,14396807,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",84,La Bachata,La Bachata,2022-05-26,162,76
The Weeknd,96449542,"canadian contemporary r&b, canadian pop, pop",96,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,After Hours (Deluxe),2020-03-20,191,78
The Kid LAROI,5944181,australian hip hop,85,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,2021-07-23,141,16
Demi Lovato,26886058,"pop, post-teen pop",79,29,29,2022-08-17,163,51
Shawn Mendes,43954494,"canadian pop, pop, viral pop",85,When You're Gone,When You're Gone,2022-03-31,172,67
Ed Sheeran,117932971,"pop, singer-songwriter pop, uk pop",90,The Joker And The Queen (feat. Taylor Swift),The Joker And The Queen (feat. Taylor Swift),2022-02-11,185,61
Labrinth,3391023,"indie poptimism, pop",78,I’m Tired (with Zendaya) - Bonus Track,I’m Tired (with Zendaya) - Bonus Track,2022-02-28,187,59
Drake,94383636,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96,Falling Back,"Honestly, Nevermind",2022-06-17,266,57
The Rare Occasions,500551,la indie,66,Notion,Notion,2021-12-02,195,78
Charlie Puth,23739620,"pop, viral pop",81,Light Switch,Light Switch,2022-01-20,185,23
Jack Harlow,4008304,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap",82,Nail Tech,Nail Tech,2022-02-18,206,57
Future,19690475,"atl hip hop, hip hop, rap, southern hip hop, trap",93,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,2022-04-29,189,81
Justin Bieber,79521536,"canadian pop, pop",92,Honest (feat. Don Toliver),Honest,2022-04-29,193,61
Lauren Spencer Smith,1543985,"alt z, gen z singer-songwriter, singer-songwriter pop",69,Fingers Crossed,Fingers Crossed,2022-01-05,175,0
Billie Eilish,104092602,"art pop, pop",96,TV,Guitar Songs,2022-07-21,281,82
Tate McRae,6400627,pop,86,she's all i wanna be,she's all i wanna be,2022-02-04,206,12
Omar Apollo,1065414,"bedroom pop, bedroom soul",70,Evergreen (You Didn’t Deserve Me At All),Ivory,2022-04-08,216,74
BTS,77196288,"k-pop, k-pop boy group, pop",87,Yet To Come,Proof,2022-06-10,193,66
Doja Cat,32188568,"dance pop, pop",87,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),2022-05-06,182,71
Kendrick Lamar,35387284,"conscious hip hop, hip hop, rap, west coast rap",97,The Heart Part 5,The Heart Part 5,2022-05-08,332,54
Beyoncé,39231083,"pop, r&b",87,ALIEN SUPERSTAR,RENAISSANCE,2022-07-29,215,65
Shawn Mendes,43954494,"canadian pop, pop, viral pop",85,It'll Be Okay,It'll Be Okay,2021-12-01,222,68
Demi Lovato,26886058,"pop, post-teen pop",79,SKIN OF MY TEETH,SKIN OF MY TEETH,2022-06-10,162,37
David Guetta,26575030,"big room, dance pop, edm, pop, pop dance",90,I'm Good (Blue),I'm Good (Blue),2022-08-26,175,84
Elton John,14167109,"glam rock, mellow gold, piano rock, rock",86,Hold Me Closer,Hold Me Closer,2022-08-26,202,69
Rema,6025235,"afrobeats, nigerian pop",78,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),2022-08-25,239,78
Stephen Sanchez,1644904,gen z singer-songwriter,76,Until I Found You,Until I Found You,2021-09-01,177,76
Taylor Swift,128480167,pop,100,Midnight Rain,Midnights,2022-10-21,174,74
Kendrick Lamar,35387284,"conscious hip hop, hip hop, rap, west coast rap",97,Die Hard,Mr. Morale & The Big Steppers,2022-05-13,239,72
Latto,1856108,trap queen,80,Big Energy,777,2022-03-25,172,60
Gunna,8563955,"atl hip hop, melodic rap, rap, trap",88,pushin P (feat. Young Thug),DS4EVER,2022-01-13,136,66
The Kid LAROI,5944181,australian hip hop,85,THOUSAND MILES,THOUSAND MILES,2022-04-22,164,65
Lady Gaga,33441022,"art pop, dance pop, pop",92,Die With A Smile,Die With A Smile,2024-08-16,251,99
Billie Eilish,104092602,"art pop, pop",96,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,2024-05-17,210,96
Sabrina Carpenter,16556616,pop,94,Espresso,Espresso,2024-04-12,175,89
Harry Styles,33256201,pop,85,As It Was,As It Was,2022-03-31,167,28
ConKi,20998,,66,Life,Life,2024-04-08,130,67
Taylor Swift,128480167,pop,100,Cruel Summer,Lover,2019-08-23,178,88
Chappell Roan,4324245,indie pop,88,"Good Luck, Babe!","Good Luck, Babe!",2024-04-05,218,92
Hozier,8195970,"irish singer-songwriter, modern rock, pop, pov: indie",86,Too Sweet,Unreal Unearth: Unheard,2024-03-22,251,55
Miley Cyrus,25237801,pop,84,Flowers,Flowers,2023-01-13,200,29
ConKi,20998,,66,Oh My Love,Oh My Love,2024-09-12,164,64
Benson Boone,4145837,singer-songwriter pop,85,Beautiful Things,Beautiful Things,2024-01-18,180,85
The Kid LAROI,5944181,australian hip hop,85,STAY (with Justin Bieber),STAY (with Justin Bieber),2021-07-09,141,77
Shaboozey,876400,"modern country pop, pop rap",81,A Bar Song (Tipsy),A Bar Song (Tipsy),2024-04-12,171,86
ConKi,20998,,66,Ocean,Ocean,2022-02-10,155,56
Artemas,1045849,,80,i like the way you kiss me,i like the way you kiss me,2024-03-19,142,83
Sabrina Carpenter,16556616,pop,94,Please Please Please,Please Please Please,2024-06-06,186,86
OneRepublic,17744324,"piano rock, pop",84,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,148,79
Sam Smith,24900100,"pop, uk pop",84,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),2022-09-22,156,76
ConKi,20998,,66,Sleep,Sleep,2023-06-01,178,61
Olivia Rodrigo,42203840,pop,88,vampire,vampire,2023-06-30,219,22
Elton John,14167109,"glam rock, mellow gold, piano rock, rock",86,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),2021-08-13,202,78
Tate McRae,6400627,pop,86,greedy,greedy,2023-09-15,131,86
ConKi,20998,,66,I'll Be There,I'll Be There,2022-08-11,148,56
Doja Cat,32188568,"dance pop, pop",87,Paint The Town Red,Paint The Town Red,2023-08-04,231,78
Justin Bieber,79521536,"canadian pop, pop",92,Ghost,Justice,2021-03-19,153,67
Teddy Swims,3606592,,87,Lose Control,I've Tried Everything But Therapy (Part 1),2023-09-15,210,88
ConKi,20998,,66,Let It Go,Let It Go,2023-02-16,168,54
The Weeknd,96449542,"canadian contemporary r&b, canadian pop, pop",96,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Highlights (Deluxe),2024-02-09,244,63
Post Malone,46064066,"dfw rap, melodic rap, pop, rap",90,I Had Some Help (Feat. Morgan Wallen),I Had Some Help,2024-05-10,178,83
David Kushner,2483118,"gen z singer-songwriter, singer-songwriter pop",77,Daylight,Daylight,2023-04-14,212,81
ConKi,20998,,66,Bubbly,Bubbly,2023-05-11,123,52
David Guetta,26575030,"big room, dance pop, edm, pop, pop dance",90,I'm Good (Blue),I'm Good (Blue),2022-08-26,175,84
Rema,6025235,"afrobeats, nigerian pop",78,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),2022-08-25,239,78
Joji,9974051,viral pop,80,Glimpse of Us,Glimpse of Us,2022-06-10,233,72
DVNY,628,,43,Roaring 20s,Roaring 20s,2024-09-26,181,54
Tyla,2293539,,79,Water,Water,2023-07-28,200,84
Chris Brown,24494987,"r&b, rap",89,Under The Influence,Indigo (Extended),2019-10-04,184,83
SZA,25205028,"pop, r&b, rap",93,Kill Bill,SOS,2022-12-08,153,86
MarchY,632,,44,Safe,Safe,2024-11-14,162,53
ROSÉ,8905940,k-pop,90,APT.,rosie,2024-12-06,169,83
Sabrina Carpenter,16556616,pop,94,Taste,Short n' Sweet,2024-08-23,157,92
Lost Frequencies,2952515,"belgian edm, edm, pop dance, tropical house",80,Where Are You Now,Where Are You Now,2021-07-30,148,74
Iaco,1668,"chill house, tropical house",53,Sun Comes Down,Sun Comes Down,2024-09-01,153,49
Myles Smith,853757,singer-songwriter pop,80,Stargazing,Stargazing,2024-05-10,172,87
Lil Nas X,12403081,lgbtq+ hip hop,76,INDUSTRY BABY (feat. Jack Harlow),MONTERO,2021-09-17,212,72
Noah Kahan,3683047,"pov: indie, singer-songwriter pop",86,Stick Season,Stick Season,2022-10-14,182,86
ConKi,20998,,66,Ghost,Ghost,2023-01-12,184,54
Eminem,94763643,"detroit hip hop, hip hop, rap",93,Houdini,The Death of Slim Shady (Coup De Grâce),2024-07-12,227,78
Taylor Swift,128480167,pop,100,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,2024-04-18,228,84
Zummer,736,,51,Rip,Rip,2024-08-08,125,52
Imagine Dragons,55668981,"modern rock, pop, rock",89,Bones,Bones,2022-03-11,165,74
Benson Boone,4145837,singer-songwriter pop,85,In The Stars,In The Stars,2022-04-29,216,74
ConKi,20998,,66,Take You There,Take You There,2022-05-13,148,13
Jack Harlow,4008304,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap",82,Lovin On Me,Lovin On Me,2023-11-10,138,81
Dua Lipa,45222497,"dance pop, pop, uk pop",88,Houdini,Radical Optimism,2024-05-03,185,82
Sugar Jesus,3782,canadian electronic,48,Wherever You Are,Wherever You Are,2024-06-06,160,53
Meghan Trainor,15520920,"hip pop, pop",82,Made You Look,Takin' It Back,2022-10-21,134,78
Ariana Grande,102039011,pop,96,we can't be friends (wait for your love),eternal sunshine,2024-03-08,228,87
Madism,28791,"covertronica, tropical house",63,Chemicals,Chemicals,2024-08-23,186,57
Harry Styles,33256201,pop,85,Watermelon Sugar,Fine Line,2019-12-13,174,81
Glass Animals,4358650,"gauze pop, indietronica, modern rock, pov: indie, shiver pop",77,Heat Waves,Dreamland,2020-08-07,238,84
ConKi,20998,,66,We Can Talk Baby,We Can Talk Baby,2022-05-06,184,47
Tommy Richman,785395,chill abstract hip hop,78,MILLION DOLLAR BABY,MILLION DOLLAR BABY,2024-04-26,155,87
Elley Duhé,606140,alt z,75,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,2020-01-10,184,74
ConKi,20998,,66,Ain’t the One,Ain’t the One,2021-08-19,137,48
Ed Sheeran,117932971,"pop, singer-songwriter pop, uk pop",90,Perfect,÷ (Deluxe),2017-03-03,263,85
The Weeknd,96449542,"canadian contemporary r&b, canadian pop, pop",96,Starboy,Starboy,2016-11-25,230,87
DENNICK,1521,covertronica,39,A Better Day,A Better Day,2024-03-14,157,50
Mark Ambor,552582,singer-songwriter pop,77,Belong Together,Belong Together,2024-02-16,148,80
Adele,61009632,"british soul, pop, pop soul, uk pop",87,Easy On Me,Easy On Me,2021-10-14,224,77
ConKi,20998,,66,True Love,True Love,2022-01-13,165,51
Rosa Linn,415725,alt z,67,SNAP,SNAP,2022-03-19,179,43
Lizzo,5709007,"escape room, minnesota hip hop, pop, trap queen",70,About Damn Time,About Damn Time,2022-04-14,191,45
Zummer,736,,51,Same Heart,Same Heart,2024-10-03,152,54
CKay,1567541,"afro r&b, afrobeats",69,love nwantiti (ah ah ah),CKay The First,2019-08-30,145,74
Ed Sheeran,117932971,"pop, singer-songwriter pop, uk pop",90,Shape of You,÷ (Deluxe),2017-03-03,233,86
ConKi,20998,,66,90s Better,90s Better,2023-04-13,139,55
Imagine Dragons,55668981,"modern rock, pop, rock",89,Enemy (with JID) - from the series Arcane League of Legends,Enemy (with JID) [from the series Arcane League of Legends],2021-10-28,173,76
Justin Bieber,79521536,"canadian pop, pop",92,Peaches (feat. Daniel Caesar & Giveon),Justice,2021-03-19,198,77
Corena,734,,42,No Caller Id,No Caller Id,2024-06-27,164,50
Nicky Youre,283559,singer-songwriter pop,69,Sunroof,Sunroof,2021-12-03,163,10
Måneskin,9949764,"indie rock italiano, italian pop",80,Beggin',Chosen,2017-12-08,211,81
ConKi,20998,,66,Above the Clouds,Above the Clouds,2023-03-16,157,55
FIFTY FIFTY,1784259,k-pop girl group,68,Cupid - Twin Ver.,The Beginning: Cupid,2023-02-24,174,29
Taylor Swift,128480167,pop,100,Lover,Lover,2019-08-23,221,83
MarchY,632,,44,Love Is All Around,Love Is All Around,2022-07-21,171,47
Farruko,16229155,"reggaeton, trap latino, urbano latino",84,Pepas,Pepas,2021-06-24,287,75
Dua Lipa,45222497,"dance pop, pop, uk pop",88,Levitating (feat. DaBaby),Levitating (feat. DaBaby),2020-10-01,203,65
Sugar Jesus,3782,canadian electronic,48,All or Nothing,All or Nothing,2023-10-05,174,50
Gracie Abrams,3594564,alt z,91,That’s So True,The Secret of Us (Deluxe),2024-10-18,166,95
Ed Sheeran,117932971,"pop, singer-songwriter pop, uk pop",90,Bad Habits,Bad Habits,2021-06-25,231,6
K!llx,1571,,51,Behind the Moon,Behind the Moon,2022-07-14,164,48
Lil Nas X,12403081,lgbtq+ hip hop,76,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),2021-03-31,137,68
Alvin Anthony,663,,40,All I Want for Christmas,All I Want for Christmas,2022-12-01,178,47
Kygo,8516243,"edm, pop, pop dance, tropical house",82,Whatever,Whatever,2024-01-19,178,76
Sugar Jesus,3782,canadian electronic,48,Hello Shadow,Hello Shadow,2024-03-28,180,50
Jaymes Young,976518,indie poptimism,67,Infinity,Infinity (PRETTY YOUNG Remix),2021-12-10,237,46
Julian Cross,3595,,40,Paper Thin,Paper Thin,2024-08-09,154,46
Lil Nas X,12403081,lgbtq+ hip hop,76,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),2021-07-23,212,72
ConKi,20998,,66,Hunger,Hunger,2021-11-25,172,0
